PERM_LOCATION	folio_code
PNA50	PNA50
SVKPK-BOR2	SVKPK-BOR2
SVKPK-BUSOV	SVKPK-BUSOV
SVKPK-BOR16	SVKPK-BOR16
SVKPK-BOR17	SVKPK-BOR17
SVKPK-STOD	SVKPK-STOD
SVKPK-ODZKF	SVKPK-ODZKF
SVKPK-RED	SVKPK-RED
SVKPK-REV	SVKPK-REV
SVKPK-EKO	SVKPK-EKO
SVKPK-MVS	SVKPK-MVS
SVKPK-OVOK	SVKPK-OVOK
SVKPK-IT	SVKPK-IT
SVKPK-REG	SVKPK-REG
SVKPK-HIST	SVKPK-HIST
SVKPK-VZAC	SVKPK-VZAC
SVKPK-DEF	SVKPK-DEF
SVKPK-STUD	SVKPK-STUD
SVKPK-HUD	SVKPK-HUD
SVKPK-SPEC	SVKPK-SPEC
SVKPK-REST	SVKPK-REST
SVKPK-CIT	SVKPK-CIT
SVKPK-NAM	SVKPK-NAM
SVKPK-EKNIH	SVKPK-EKNIH
SVKVV-VOLNY	SVKVV-VOLNY
SVKVV-EKNIH	SVKVV-EKNIH
SVKA-HLAV	SVKA-HLAV
SVKA-BOR2	SVKA-BOR2
SVKA-BUSOV	SVKA-BUSOV
SVKA-BOR16	SVKA-BOR16
SVKA-BOR17	SVKA-BOR17
SVKA-STOD	SVKA-STOD
SVKA-ODZKF	SVKA-ODZKF
SVKA-RED	SVKA-RED
SVKA-REV	SVKA-REV
SVKA-EKO	SVKA-EKO
SVKA-MVS	SVKA-MVS
SVKA-OVOK	SVKA-OVOK
SVKA-IT	SVKA-IT
SVKA-REG	SVKA-REG
SVKA-STUD	SVKA-STUD
SVKA-HUD	SVKA-HUD
SVKA-SPEC	SVKA-SPEC
SVKA-CIT	SVKA-CIT
SVKA-NAM	SVKA-NAM
SVKA-EKNIH	SVKA-EKNIH
PRAHA-PRAHA	PRAHA-PRAHA
SVKH-HUD	SVKH-HUD
ANGL-ANGL	ANGL-ANGL
ANGLA-ANGL	ANGLA-ANGL
NEME-NEME	NEME-NEME
NEMEA-NEME	NEMEA-NEME
NEMEV-NEME	NEMEV-NEME
RAKO-RAKO	RAKO-RAKO
RAKOA-RAKO	RAKOA-RAKO
ROMA-HISP	ROMA-HISP
ROMA-FRAN	ROMA-FRAN
ROMA-ITAL	ROMA-ITAL
ROMA-SVYC	ROMA-SVYC
ROMAA-HISP	ROMAA-HISP
ROMAA-FRAN	ROMAA-FRAN
ROMAA-ITAL	ROMAA-ITAL
ROMAA-SVYC	ROMAA-SVYC
SLEP-SLEP	SLEP-SLEP
AUDIO-SLEP	AUDIO-SLEP
CDROM-SLEP	CDROM-SLEP
VIDEO-SLEP	VIDEO-SLEP
DVD-SLEP	DVD-SLEP
MVS	MVS
ST_VS-STUD	ST_VS-STUD
ST_RB-REG	ST_RB-REG
ST_2P-SPEC	ST_2P-SPEC
ST_CT-CIT	ST_CT-CIT
ST_HU-HUD	ST_HU-HUD
ST_HF-HIST	ST_HF-HIST
ST_HF-VZAC	ST_HF-VZAC
ISAKV	ISAKV
ISKAT	ISKAT
ISMVS	ISMVS
ISOPR	ISOPR
ISVAZ	ISVAZ
ISDIG	ISDIG
*	UNKNOWN
